,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3489526986,,4,9,-37.8158448,145.013596,-38.1109156,144.6541725,48228.0,2018-07-10,07:53:17,11595.54,11:06:32,60.61
ID5373725669,2.0,7,3,-37.8618349,144.905716,-37.8241444,144.9825146,8721.0,2018-01-07,10:46:36,2877.96,11:34:33,233.73
ID3999702053,1.0,9,4,-38.1109156,144.6541725,-37.8111243,145.0017881,47045.0,2018-03-27,11:02:01,11243.039999999999,14:09:24,59.83
ID1326283989,0.0,4,3,-37.8106779,145.0119578,-37.8232903,144.9766577,4698.0,2018-02-10,00:37:27,1115.3399999999997,0:56:02,18.95
ID1757590935,,3,6,-37.8257965,144.9680325,-37.7874325,144.9803767,4915.0,2018-06-19,16:31:00,1220.58,16:51:20,10.19
ID1942997412,0.0,5,6,-37.8044469,144.9166318,-37.7738026,144.9836466,11537.0,2018-05-11,20:57:31,3574.92,21:57:05,13.45
ID1987617489,0.0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-02-02,09:06:06,12099.660000000003,12:27:45,23.23
ID3980220898,1.0,5,7,-37.801311,144.9212335,-37.8618349,144.905716,12198.0,2018-06-03,10:21:31,3735.3600000000006,11:23:46,27.51
ID3194166444,1.0,1,8,-37.7987038,144.9672326,-37.8158343,145.04645,7937.0,2018-01-12,12:26:27,2317.74,13:05:04,21.36
ID3863165777,1.0,4,9,-37.8124496,145.0110445,-38.1109156,144.6541725,48066.0,2018-03-06,17:01:01,11554.8,20:13:35,64.09
ID1433241799,0.0,9,5,-38.1109156,144.6541725,-37.8187937,144.9168526,44691.0,2018-01-08,10:08:09,10820.699999999997,13:08:29,20.27
ID1694805943,0.0,7,1,-37.8618349,144.905716,-37.8192711,144.9423758,9561.0,2018-02-10,18:33:59,3254.1000000000004,19:28:13,16.88
ID3216843233,,9,4,-38.1109156,144.6541725,-37.8163233,145.0085808,47690.0,2018-02-12,13:19:22,11460.360000000004,16:30:22,64.19
ID1165893959,,7,2,-37.8618349,144.905716,-37.8253207,144.9533112,8302.0,2018-03-08,05:22:20,2904.8999999999996,6:10:44,18.34
ID1996378650,,9,3,-38.1109156,144.6541725,-37.8153613,144.9764461,44663.0,2018-05-27,02:13:15,10830.959999999997,5:13:45,32.12
ID3944665297,1.0,4,3,-37.7995195,144.9997672,-37.8267979,144.9822176,5272.0,2018-04-25,00:36:48,1300.9799999999996,0:58:28,21.02
ID1782910463,0.0,3,6,-37.8179027,144.993605,-37.7907967,144.985865,3863.0,2018-03-26,07:02:53,1086.48,7:20:59,4.44
ID3294744353,1.0,3,6,-37.8246995,144.9847078,-37.7908183,144.9857929,4179.0,2018-02-09,08:36:23,1029.4199999999998,8:53:32,11.84
ID3432543549,,2,5,-37.8225161,144.9477043,-37.8063969,144.9322957,2645.0,2018-02-04,10:44:39,685.02,10:56:04,14.32
ID1892799904,0.0,5,2,-37.8013457,144.9174425,-37.8238015,144.9475135,4339.0,2018-03-25,19:16:43,1107.54,19:35:10,15.59
ID5171747317,,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-06-05,12:56:24,13173.359999999999,16:35:57,1008.82
ID1726835911,0.0,4,2,-37.8116047,145.0140616,-37.8177706,144.9317783,7922.0,2018-01-14,19:37:38,2012.76,20:11:10,15.53
ID1889974537,,5,1,-37.8062874,144.9328554,-37.8120653,144.9465208,1718.0,2018-04-08,13:40:33,451.55999999999995,13:48:04,12.87
ID5432686149,2.0,5,3,-37.8065224,144.9317679,-37.8165714,144.9866961,5683.0,2018-06-14,14:53:21,1412.1599999999999,15:16:53,128.42
ID1755351029,,3,6,-37.8256656,144.9800894,-37.773845,144.9836895,6339.0,2018-02-15,15:52:07,1359.7200000000003,16:14:46,8.74
ID5157714075,,6,4,-37.7874421,144.9804091,-37.8025582,144.9930549,2884.0,2018-03-15,18:11:29,726.6599999999999,18:23:35,75.05
ID1848325027,0.0,8,5,-37.8158343,145.04645,-37.8084929,144.9241208,11023.0,2018-06-05,11:45:30,3036.599999999999,12:36:06,8.12
ID3190280495,1.0,2,5,-37.811653,144.9381715,-37.8028191,144.9363952,2531.0,2018-07-08,19:56:29,647.4000000000001,20:07:16,18.62
ID3145405520,1.0,6,5,-37.7908183,144.9857929,-37.8029372,144.9355722,6574.0,2018-03-27,05:33:53,1753.86,6:03:06,21.15
ID1599264283,0.0,2,1,-37.8221849,144.9515765,-37.8062634,144.9557985,2160.0,2018-04-07,04:11:20,512.1000000000001,4:19:52,15.32
ID1399248693,0.0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-03-03,01:59:20,5320.6799999999985,3:28:00,25.39
ID1254705342,,9,2,-38.1109156,144.6541725,-37.8210485,144.9473608,41852.0,2018-05-16,02:59:48,10059.899999999996,5:47:27,27.34
ID1616369991,0.0,3,8,-37.8205622,144.9705984,-37.8158343,145.04645,7840.0,2018-05-28,19:26:12,2344.1400000000003,20:05:16,12.08
ID3448299890,,3,5,-37.8092623,144.9838244,-37.8050371,144.9287516,5088.0,2018-04-12,05:31:46,1280.28,5:53:06,20.17
ID3949508210,1.0,9,4,-38.1109156,144.6541725,-37.810639,145.0015278,47039.0,2018-07-04,13:24:50,11376.000000000007,16:34:26,63.92
ID1503926269,,4,2,-37.8054523,145.0005859,-37.8208693,144.9480861,5654.0,2018-04-10,06:46:44,1478.880000000001,7:11:22,4.87
ID1648110119,,8,2,-37.807202,145.0266373,-37.8262757,144.9381384,9832.0,2018-05-28,22:31:57,2510.9400000000005,23:13:47,14.48
ID1776246934,0.0,5,8,-37.8039043,144.9368881,-37.8158343,145.04645,10494.0,2018-01-26,20:51:38,2879.76,21:39:37,12.94
ID5292190838,,9,6,-38.1109156,144.6541725,-37.7874421,144.9804091,47035.0,2018-04-08,00:47:56,11413.020000000008,3:58:09,893.62
ID3264832727,1.0,4,9,-37.8102664,144.9977363,-38.1109156,144.6541725,46701.0,2018-02-13,06:03:00,11313.359999999999,9:11:33,58.31
ID1969661276,0.0,4,5,-37.8005112,144.9999631,-37.8059773,144.927982,7504.0,2018-06-27,02:51:53,1886.5199999999995,3:23:19,15.29
ID1887692149,,6,3,-37.773845,144.9836895,-37.8194746,144.9817627,6074.0,2018-05-08,22:29:11,1319.8200000000006,22:51:10,13.36
ID1133499471,0.0,2,4,-37.8146593,144.9377443,-37.7991393,144.9891178,5560.0,2018-02-04,12:32:21,1404.4199999999998,12:55:45,15.67
ID1475384708,0.0,2,4,-37.8089146,144.9354364,-37.8166992,145.0072971,7173.0,2018-04-01,05:27:06,1763.0399999999995,5:56:29,20.24
ID5744362556,,6,1,-37.7738026,144.9836466,-37.8133248,144.9513498,8599.0,2018-01-15,16:15:25,2715.0599999999986,17:00:40,225.55
ID3525576443,,7,2,-37.8618349,144.905716,-37.8184062,144.9485331,9022.0,2018-01-01,22:34:00,3062.6999999999994,23:25:02,28.97
ID5889110126,,2,3,-37.817994,144.9317665,-37.824252,144.9900371,6031.0,2018-02-12,15:14:19,1528.0199999999995,15:39:47,137.64
ID3319569498,1.0,2,1,-37.8244364,144.9435555,-37.8016383,144.9690525,4400.0,2018-02-04,12:40:40,1132.7400000000007,12:59:32,19.3
ID1214694227,0.0,2,9,-37.8197772,144.9437517,-38.1109156,144.6541725,41385.0,2018-02-19,00:13:37,9933.779999999999,2:59:10,25.44
ID3685807688,,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-01-16,08:03:52,3697.0200000000013,9:05:29,23.32
ID3831551682,1.0,2,1,-37.8143214,144.9380749,-37.8143597,144.9702034,3416.0,2018-01-04,05:28:31,884.0400000000002,5:43:15,20.37
ID3172224290,1.0,6,9,-37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-06-16,06:27:14,11530.619999999999,9:39:24,63.16
ID5385836994,2.0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-06-22,13:55:57,13204.979999999994,17:36:01,1013.63
ID1733034560,0.0,2,5,-37.8224097,144.9479011,-37.8044679,144.9388588,2589.0,2018-03-12,21:00:27,658.5,21:11:25,14.23
ID1549021392,0.0,4,2,-37.8043515,145.0004139,-37.8154653,144.9356584,6678.0,2018-02-03,19:45:06,1667.2199999999993,20:12:53,
ID3760219189,1.0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-07,15:18:30,4917.479999999999,16:40:27,
ID3159230970,1.0,1,3,-37.8089549,144.9499068,-37.8204757,144.9768057,3645.0,2018-01-26,07:12:19,938.7600000000007,7:27:57,9.39
ID5120252593,2.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-04-23,05:10:55,12681.059999999998,8:42:16,
ID3399736718,1.0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-04-09,02:27:17,4917.479999999999,3:49:14,
ID3276170111,1.0,1,6,-37.813352,144.9402417,-37.7874421,144.9804091,5609.0,2018-04-24,15:18:02,1408.6800000000005,15:41:30,16.63
ID3427203975,1.0,8,1,-37.807202,145.0266373,-37.8009428,144.9527616,7076.0,2018-06-08,02:10:25,1854.3000000000006,2:41:19,25.27
ID3807591903,1.0,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-05-08,02:01:54,11418.06,5:12:12,68.62
ID1252142546,0.0,2,4,-37.8093137,144.9339968,-37.8074124,144.9985205,6159.0,2018-06-24,18:34:22,1509.9600000000003,18:59:31,
ID3280965162,1.0,4,6,-37.7985859,145.0066298,-37.7907967,144.985865,3168.0,2018-07-04,17:43:33,942.48,17:59:15,14.05
ID1278347436,0.0,1,5,-37.8160229,144.9383031,-37.805931,144.9381047,1460.0,2018-05-12,15:50:52,371.94,15:57:03,
ID3415666364,1.0,1,3,-37.8179189,144.9677071,-37.8215333,144.9779585,1215.0,2018-05-06,15:17:46,293.0400000000001,15:22:39,16.89
ID3542317637,1.0,3,6,-37.817055,144.9856924,-37.7738026,144.9836466,8907.0,2018-05-08,04:36:50,2737.92,5:22:27,25.77
ID3821487248,1.0,7,2,-37.8618349,144.905716,-37.8091162,144.9319332,10914.0,2018-05-25,22:59:15,3539.459999999998,23:58:14,32.49
ID3833763744,1.0,4,7,-37.8113389,145.0085819,-37.8618349,144.905716,11781.0,2018-07-16,21:31:32,3761.580000000001,22:34:13,32.76
ID5651557904,2.0,5,9,-37.8031312,144.929427,-38.1109156,144.6541725,43996.0,2018-07-18,17:27:39,10529.099999999999,20:23:08,811.98
ID3860778963,1.0,1,8,-37.812627,144.9627742,-37.8158343,145.04645,7675.0,2018-04-10,08:40:53,2210.8199999999997,9:17:43,16.99
ID1510989665,0.0,3,5,-37.8152092,144.9747566,-37.8013511,144.9361111,6520.0,2018-05-27,09:52:55,1551.8400000000004,10:18:46,12.36
ID3411044990,1.0,6,1,-37.7738026,144.9836466,-37.81247,144.9362889,10049.0,2018-06-10,07:46:23,3044.2199999999984,8:37:07,25.26
ID3994810485,1.0,9,6,-38.1109156,144.6541725,-37.7907967,144.985865,47193.0,2018-04-20,13:34:04,11535.780000000008,16:46:19,65.83
ID5618410866,2.0,1,8,-37.8187434,144.9625917,-37.8158343,145.04645,7878.0,2018-03-26,16:44:38,2277.7200000000003,17:22:35,192.49
ID3607872855,1.0,5,9,-37.8169526,144.9274736,-38.1109156,144.6541725,43981.0,2018-07-23,20:07:25,10555.859999999999,23:03:20,
ID1195105701,0.0,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-07-09,11:43:21,3863.579999999999,12:47:44,10.35
ID1847456969,0.0,1,2,-37.8141178,144.9378554,-37.8245462,144.946792,1969.0,2018-01-21,02:41:30,466.91999999999996,2:49:16,16.75
ID1519574190,0.0,5,8,-37.8059259,144.9317588,-37.8158343,145.04645,10405.0,2018-02-09,18:09:34,2938.5,18:58:32,12.73
ID3946966157,1.0,5,8,-37.8058293,144.9308676,-37.8158343,145.04645,10485.0,2018-07-07,03:44:12,2967.3,4:33:39,
ID5738592301,2.0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-05-18,00:16:35,4917.479999999999,1:38:32,399.13
ID1724245320,0.0,4,6,-37.8110185,145.000558,-37.7908183,144.9857929,3479.0,2018-07-05,02:53:06,867.7200000000001,3:07:33,14.06
ID1291633174,0.0,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-05-10,21:22:50,3697.0200000000013,22:24:27,
ID1313590502,0.0,7,2,-37.8618349,144.905716,-37.8134231,144.9412206,10029.0,2018-07-13,07:14:40,3309.3599999999988,8:09:49,10.36
ID3217761929,1.0,5,2,-37.8149767,144.9275019,-37.8135914,144.9375989,2263.0,2018-03-11,08:31:45,560.58,8:41:05,12.47
ID1902085059,0.0,6,2,-37.7907967,144.985865,-37.8209034,144.9480676,5600.0,2018-04-14,15:08:47,1580.3400000000004,15:35:07,14.82
ID1600219229,0.0,5,2,-37.8064885,144.9329212,-37.8130028,144.9376504,1410.0,2018-07-23,08:11:29,335.46000000000004,8:17:04,
ID3521376324,1.0,8,5,-37.8158343,145.04645,-37.8050314,144.9279056,10751.0,2018-01-09,04:25:34,3080.639999999998,5:16:54,
ID1385752428,0.0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-04-12,03:01:59,4911.599999999998,4:23:50,18.6
ID1148876647,0.0,7,1,-37.8618349,144.905716,-37.8217484,144.9680858,7807.0,2018-04-03,05:38:13,2734.439999999999,6:23:47,
ID5882903497,2.0,2,5,-37.8211813,144.9472961,-37.804869,144.9284889,2896.0,2018-06-26,15:39:17,724.6199999999999,15:51:21,77.35
ID5538771612,2.0,5,3,-37.8058242,144.9366869,-37.8140499,144.9716334,3803.0,2018-07-06,06:20:46,979.4400000000003,6:37:05,86.15
ID1864565187,0.0,1,8,-37.8086175,144.9482068,-37.8158343,145.04645,8938.0,2018-07-05,11:36:18,2539.8599999999997,12:18:37,9.78
ID1578755120,0.0,2,4,-37.8150061,144.9276058,-37.8107703,145.0099334,8649.0,2018-07-25,06:44:46,2175.2400000000007,7:21:01,
ID1859216477,0.0,8,2,-37.8158343,145.04645,-37.8236763,144.9377404,10399.0,2018-05-21,17:11:04,3001.739999999999,18:01:05,
ID3260156882,1.0,6,2,-37.7908183,144.9857929,-37.8209085,144.9473317,5658.0,2018-07-28,16:58:55,1363.2599999999998,17:21:38,22.24
ID1152712951,0.0,3,7,-37.8247418,144.9899126,-37.8618349,144.905716,9318.0,2018-07-14,02:21:01,3053.76,3:11:54,20.54
ID1525308230,0.0,7,1,-37.8618349,144.905716,-37.8143014,144.9548242,8615.0,2018-05-15,14:58:23,2970.899999999999,15:47:53,
ID1560443868,0.0,5,8,-37.8115199,144.9272068,-37.8158343,145.04645,11041.0,2018-03-28,21:25:58,3098.3999999999996,22:17:36,14.61
ID3729412792,1.0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-15,09:30:01,12681.060000000005,13:01:22,
ID3387041267,1.0,7,1,-37.8618349,144.905716,-37.8102793,144.9728777,8979.0,2018-07-21,19:53:29,2996.4599999999987,20:43:25,
ID5972366308,2.0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-04-04,09:26:41,13204.979999999994,13:06:45,1003.46
ID1641907167,0.0,2,7,-37.8264576,144.9519059,-37.8618349,144.905716,8503.0,2018-05-19,09:03:28,2951.64,9:52:39,13.07
ID5988021117,2.0,9,1,-38.1109156,144.6541725,-37.8112288,144.9618602,43517.0,2018-05-13,02:02:12,10525.920000000007,4:57:37,828.45
ID1449642075,0.0,5,6,-37.8041145,144.9384725,-37.773845,144.9836895,7056.0,2018-04-18,11:31:24,1604.04,11:58:08,
ID3614899476,1.0,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-04-09,15:47:43,2302.3800000000006,16:26:05,20.02
ID3864076493,1.0,7,5,-37.8618349,144.905716,-37.8187144,144.9167461,11685.0,2018-05-01,08:07:05,3845.279999999999,9:11:10,24.14
ID3814333715,1.0,8,4,-37.8158343,145.04645,-37.8100036,144.9953046,4551.0,2018-02-23,06:21:23,1419.8400000000001,6:45:02,13.56
ID3780343429,1.0,8,7,-37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-05-27,04:50:51,4298.280000000001,6:02:29,39.18
ID3325540607,1.0,6,5,-37.7738026,144.9836466,-37.8059715,144.9340829,10017.0,2018-01-15,04:53:00,3037.6800000000003,5:43:37,30.24
ID1449215592,0.0,2,1,-37.8133423,144.9354927,-37.8041775,144.9492187,2535.0,2018-04-21,11:16:48,638.2800000000001,11:27:26,11.52
